Designator,Mid X,Mid Y,Rotation,Layer
C10,59.75,-106.55,0.0,top
C11,64.655,-96.5,0.0,top
C12,59.75,-105.5,0.0,top
C13,64.655,-95.75,0.0,top
C14,78.3,-106.2,135.0,top
C15,74.8,-109.2,135.0,top
C16,103.65,-94.0,0.0,top
C17,98.2,-84.6,315.0,top
C18,106.42,-94.0,0.0,top
C19,83.921178,-106.328822,225.0,top
C2,65.9,-100.77,90.0,top
C20,91.6,-95.4,45.0,top
C21,92.3,-98.8,45.0,top
C22,93.0,-99.5,45.0,top
C23,93.2,-102.1,315.0,top
C24,83.2,-105.6,225.0,top
C25,92.489411,-102.839411,315.0,top
C26,85.460589,-95.060589,135.0,top
C27,82.05,-97.9,135.0,top
C28,91.2,-97.2,45.0,top
C29,89.939411,-105.439411,315.0,top
C3,71.25,-97.68,270.0,top
C30,67.8,-108.35,0.0,top
C4,64.655,-101.27,180.0,top
C5,64.655,-100.27,0.0,top
C6,64.655,-99.5,0.0,top
C7,64.655,-98.75,0.0,top
C8,64.655,-98.0,0.0,top
C9,64.655,-97.25,0.0,top
D1,73.1,-95.75,180.0,top
D4,104.8,-82.8,0.0,top
D5,68.3,-95.75,180.0,top
D6,68.3,-98.0,0.0,top
FB1,111.35,-94.4,0.0,top
J1,111.925,-87.07,90.0,top
J3,107.25,-114.5,180.0,top
L1,68.55,-100.15,180.0,top
Q1,71.4,-110.05,0.0,top
R13,79.25,-110.4,225.0,top
R14,87.0,-88.2,270.0,top
R15,96.2,-84.6,135.0,top
R16,111.75,-105.0,270.0,top
R17,109.75,-105.0,270.0,top
R18,107.75,-105.0,270.0,top
R19,105.75,-105.0,270.0,top
R2,61.6,-103.4,270.0,top
R20,103.75,-105.0,270.0,top
R21,101.5,-105.0,270.0,top
R22,101.65,-96.95,270.0,top
R23,105.05,-91.45,270.0,top
R24,104.45,-85.0,180.0,top
R25,95.5,-94.8,45.0,top
R26,97.25,-96.55,45.0,top
R3,60.9,-110.0,0.0,top
R4,62.5,-107.95,0.0,top
RX1,60.7,-100.5,0.0,top
SW3,84.2,-89.1,90.0,top
SW4,77.8,-91.0,0.0,top
U1,68.5,-104.7,180.0,top
U2,56.525,-102.0,270.0,top
U3,105.0375,-96.95,180.0,top
U4,93.512267,-87.414242,225.0,top
U5,100.3,-91.75,135.0,top
U6,86.868629,-101.0,45.0,top
Y1,76.823223,-108.021142,135.0,top
