Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C27, C29",0603,3,100pF,
"C11, C25, C28, C30, C32, C9",0603,6,10uF,
"C12, C2, C3, C4, C8",0603,5,10uF,
"C13, C14, C15, C16, C17, C18, C19, C20",0603,8,22nF,
C21,0603,1,100pF,
C22,0603,1,22uF,CC0805ZKY5V5BB226 
"C23, C26, C31, C33, C34, C35, C36, C37, C38, C39, C41, C42, C43",0402,13,100nF,
C40,0402,1,15pF,
D1,0603,1,RED,
J1,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Counter_Clockwise,
J2,SDCard molex,1,Micro_SD_Card_Det1,C20613194
"J3, J4, J5",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,3,USB_C_Receptacle_USB2.0_14P, C2765186
J7,XKB Connection A71-05H4-111N1,1,HDMI_C_1.3,C2682170 
"L1, L2, L3",1008,3,2.2uH, C285758
"R1, R2, R3, R4, R6, R7",0603,6,5.1k,
"R10, R8",0603,2,470,
R11,0603,1,100k,
"R12, R13, RB2",0603,3,4.7k,
"R14, R15, RB3",0603,3,3.3k,
"R16, R17, R24",0603,3,4.7k,AC0603FR-104K7L
R18,0603,1,1k,
R19,0603,1,10k,C15401
"R20, R21, R22, R9",0603,4,10k,
R23,0603,1,4.7k,
R38,0603,1,0.47,C158884
R5,0603,1,549,
"RA1, RA2, RA3",0603,3,15k,
RB1,0603,1,18k,
U1,BGA-256_14.0x14.0mm_Layout16x16_P0.8mm_Ball0.45mm_Pad0.32mm_NSMD,1,ECP5U_12_CABGA256, C1521614
U10,TSOP-II-54_22.2x10.16mm_P0.8mm,1,W9825G6KH-6, C62246
U11,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS, C97521
"U12, U13, U14",SOT-563,3,TLV62569DRL,C163217
"U5, U6, U8",Texas_DRT-3,3,TPD2EUSB30,
U7,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
U9,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306DC1,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ECS-2520MV-xxx-xx, C5189451
