Designator,Mid X,Mid Y,Rotation,Layer
C10,119.88,-84.84,90.0,top
C11,116.96,-84.84,270.0,top
C12,121.27,-91.88,0.0,top
C13,120.305,-96.92,180.0,top
C14,120.305,-95.46,180.0,top
C15,118.09,-95.125,270.0,top
C16,116.63,-95.125,270.0,top
C17,115.16,-94.77,270.0,top
C18,113.7,-94.77,270.0,top
C19,112.24,-94.77,270.0,top
C2,136.09,-84.64,90.0,bottom
C20,110.78,-94.77,270.0,top
C21,104.88,-94.77,270.0,top
C22,106.695,-83.46675,180.0,bottom
C23,134.61,-91.36,45.0,bottom
C25,134.62,-84.32,270.0,bottom
C26,133.32,-86.51,180.0,bottom
C27,118.42,-84.84,270.0,top
C28,152.885,-79.73,180.0,top
C29,152.89,-78.27,180.0,top
C3,136.42,-92.04,270.0,bottom
C30,139.45,-87.17,90.0,bottom
C31,138.25,-85.92,270.0,bottom
C32,140.08,-90.14,270.0,bottom
C33,138.88,-89.56,270.0,bottom
C34,138.89,-91.39,90.0,bottom
C35,138.26,-87.74,90.0,bottom
C36,137.62,-90.76,270.0,bottom
C37,137.28,-85.4,90.0,bottom
C38,136.71,-88.41,270.0,bottom
C39,123.21,-91.42,270.0,top
C4,162.81,-78.75,270.0,top
C40,126.98,-92.55,270.0,bottom
C41,130.71,-88.95,0.0,bottom
C42,134.94,-89.65,180.0,bottom
C43,135.79,-87.07,270.0,bottom
C8,120.44,-79.2,180.0,top
C9,121.34,-85.05,90.0,top
D1,136.85,-103.29,270.0,top
J1,134.505,-74.505,90.0,top
J2,109.19,-84.67,90.0,top
J3,130.8,-101.325,0.0,top
J4,143.4,-101.325,0.0,top
J5,156.0,-101.325,0.0,top
J7,114.4,-99.0,0.0,top
L1,156.28,-79.5,270.0,top
L2,117.6,-80.695,270.0,top
L3,120.72,-89.19,90.0,top
R1,129.54,-97.71,270.0,bottom
R10,106.4,-94.78,90.0,top
R11,103.42,-94.77,90.0,top
R12,112.83,-100.4,180.0,bottom
R13,112.25,-101.86,0.0,bottom
R14,105.91,-97.56,0.0,bottom
R15,105.27,-95.43,0.0,bottom
R16,128.08,-87.81,270.0,bottom
R17,133.29,-89.08,90.0,bottom
R18,123.7,-87.81,270.0,bottom
R19,126.62,-87.81,270.0,bottom
R2,133.2,-100.06,0.0,bottom
R20,124.22,-79.64,270.0,top
R21,125.68,-79.63,270.0,top
R22,125.16,-87.81,270.0,bottom
R23,130.29,-87.05,180.0,bottom
R24,127.14,-79.63,270.0,top
R3,142.83,-100.49,90.0,bottom
R38,106.69,-82.01,180.0,bottom
R4,144.29,-100.49,90.0,bottom
R5,136.86,-100.33,270.0,top
R6,155.36,-95.77,0.0,top
R7,158.62,-95.8,180.0,top
R8,109.32,-94.78,90.0,top
R9,107.86,-94.78,90.0,top
RA1,158.36,-79.97,90.0,top
RA2,120.59,-82.62,0.0,top
RA3,117.89,-88.51,180.0,top
RB1,160.57,-80.18,180.0,top
RB2,122.75,-79.64,270.0,top
RB3,117.89,-87.05,0.0,top
U1,135.862165,-88.183,270.0,top
U10,155.352165,-88.223,90.0,top
U11,124.97,-85.77,180.0,top
U12,118.17,-90.19,0.0,top
U13,120.31,-80.89,180.0,top
U14,160.2925,-78.5,180.0,top
U5,149.8,-100.47,90.0,top
U6,137.38,-97.1075,270.0,top
U7,122.87,-101.27,270.0,top
U8,122.63,-97.97,180.0,top
U9,106.05,-97.51,180.0,top
Y1,125.77,-92.13,0.0,top
