Designator,Mid X,Mid Y,Rotation,Layer
A1,134.28,-126.28,90.0,top
BZ2,105.58,-76.8,180.0,top
C1,115.5,-115.3,0.0,top
C10,105.53,-88.18,180.0,top
C11,128.9275,-78.09,180.0,top
C14,138.24,-86.86,0.0,top
C15,134.18,-90.68,0.0,top
C16,128.8275,-82.48,180.0,top
C18,136.81,-79.1,270.0,top
C2,151.18,-99.38,0.0,top
C20,104.8075,-132.33,270.0,top
C21,107.2875,-131.02,90.0,top
C22,165.48,-129.79,270.0,top
C3,152.29,-92.98,90.0,top
C4,142.27,-86.81,0.0,top
C6,138.26,-109.24,270.0,top
C7,101.97,-90.85,90.0,top
C8,107.45,-91.02,90.0,top
C9,108.02,-94.68,225.0,top
D10,121.6,-106.78,0.0,top
D11,120.24,-94.89,0.0,top
D12,112.66,-85.94,180.0,top
D13,104.27,-85.9,0.0,top
D14,116.68,-81.53,180.0,top
D15,138.41,-84.51,0.0,top
D16,125.9075,-80.32,180.0,top
D17,139.83,-82.06,180.0,top
D8,140.43,-100.97,270.0,top
D9,132.21,-94.76,0.0,top
IC1,112.3,-89.92,90.0,top
J3,158.75,-99.28,90.0,top
J4,116.085,-104.71,0.0,top
L3,143.73,-94.44,180.0,top
R1,142.8325,-89.29,0.0,top
R10,112.5225,-81.39,180.0,top
R11,111.18,-136.1525,90.0,top
R12,110.6275,-128.8,0.0,top
R2,148.78,-89.12,0.0,top
R3,111.33,-97.5,90.0,top
R35,128.8175,-84.74,180.0,top
R37,125.215,-84.77,180.0,top
R38,128.8475,-80.31,180.0,top
R39,138.98,-79.7325,270.0,top
R4,109.66,-112.47,90.0,top
R5,114.97,-110.61,180.0,top
R6,140.92,-105.1325,90.0,top
R7,132.4125,-98.79,0.0,top
R8,125.8775,-106.8,180.0,top
R9,104.7225,-91.63,180.0,top
SW10,121.82,-99.41,90.0,top
SW2,144.55,-104.53,180.0,top
SW3,150.19,-104.43,270.0,top
SW4,131.065,-106.54,270.0,top
SW7,133.66,-101.86,270.0,top
SW9,125.89,-95.39,270.0,top
U1,150.4375,-96.51,180.0,top
U12,133.5675,-77.98,180.0,top
U2,132.175,-87.5075,270.0,top
U4,107.9375,-134.4175,0.0,top
U5,162.315,-129.97,0.0,top
U6,110.045,-105.325,270.0,top
